Brend,Cena,Godiste,Gorivo,Karoserija,Kilometraza,Kubikaza,Model,Snaga
ALFA ROMEO,1990,2004,Dizel ,Limuzina ,220457,1910,147,140
ALFA ROMEO,2899,2007,Benzin + Gas (TNG) ,Hecbek ,228500,1970,147,150
ALFA ROMEO,2400,2003,Dizel ,Hecbek ,237624,1910,147,140
ALFA ROMEO,1750,2003,Dizel ,Hecbek ,250070,1900,147,116
ALFA ROMEO,900,2001,Dizel ,Kupe ,220000,1910,147,116
ALFA ROMEO,1750,2001,Benzin ,Kupe ,270000,1600,147,105
ALFA ROMEO,1650,2004,Dizel ,Hecbek ,210000,1900,147,139
ALFA ROMEO,1300,2004,Dizel ,Hecbek ,199000,1900,147,139
ALFA ROMEO,1350,2002,Dizel ,Hecbek ,250751,1900,147,116
ALFA ROMEO,1800,2005,Dizel ,Hecbek ,172000,1910,147,116
ALFA ROMEO,1150,2000,Benzin ,Hecbek ,223000,1600,147,120
ALFA ROMEO,2600,2005,Dizel ,Hecbek ,170000,1900,147,150
ALFA ROMEO,1000,2002,Dizel ,Hecbek ,304454,1910,147,116
ALFA ROMEO,1500,2003,Dizel ,Hecbek ,450000,1900,147,116
ALFA ROMEO,2000,2003,Dizel ,Hecbek ,344000,1900,147,114
ALFA ROMEO,1750,2001,Dizel ,Hecbek ,252010,1890,147,117
ALFA ROMEO,1800,2002,Dizel ,Hecbek ,188627,1900,147,116
ALFA ROMEO,1250,2002,Benzin + Gas (TNG) ,Limuzina ,294930,1600,147,75
ALFA ROMEO,1100,2003,Dizel ,Hecbek ,291000,1899,147,116
ALFA ROMEO,900,2002,Dizel ,Hecbek ,260000,1900,147,116
ALFA ROMEO,2000,2001,Benzin + Gas (TNG) ,Hecbek ,276500,2000,147,150
ALFA ROMEO,1750,2003,Benzin ,Hecbek ,262000,1598,147,105
ALFA ROMEO,2400,2006,Dizel ,Hecbek ,188000,1910,147,150
ALFA ROMEO,3800,2008,Dizel ,Hecbek ,240000,1910,147,150
ALFA ROMEO,1300,2004,Dizel ,Hecbek ,240000,1900,147,139
ALFA ROMEO,600,2001,Benzin + Gas (TNG) ,Hecbek ,186000,2000,147,150
ALFA ROMEO,1300,2004,Dizel ,Hecbek ,222640,1899,147,116
ALFA ROMEO,3800,2008,Dizel ,Hecbek ,204111,1903,147,150
ALFA ROMEO,1700,2003,Dizel ,Hecbek ,245000,1900,147,116
ALFA ROMEO,1750,2005,Dizel ,Hecbek ,187232,1900,147,150
ALFA ROMEO,1800,2003,Dizel ,Hecbek ,221000,1900,147,116
ALFA ROMEO,900,2000,Benzin ,Hecbek ,310000,1600,147,120
ALFA ROMEO,950,2004,Dizel ,Hecbek ,230000,1910,147,116
ALFA ROMEO,1200,2002,Benzin ,Hecbek ,217000,1600,147,120
ALFA ROMEO,1650,2005,Benzin ,Hecbek ,213820,1600,147,120
ALFA ROMEO,1550,2003,Benzin + Gas (TNG) ,Hecbek ,225605,1600,147,120
ALFA ROMEO,2000,2004,Dizel ,Hecbek ,196458,1900,147,140
ALFA ROMEO,1500,2004,Benzin ,Hecbek ,92000,1600,147,105
ALFA ROMEO,2350,2006,Dizel ,Hecbek ,245000,1900,147,120
ALFA ROMEO,2390,2006,Dizel ,Hecbek ,175000,1900,147,120
ALFA ROMEO,1200,2002,Dizel ,Hecbek ,230000,1900,147,116
ALFA ROMEO,2300,2005,Dizel ,Hecbek ,26000,1900,147,150
ALFA ROMEO,2390,2006,Dizel ,Hecbek ,289000,1910,147,120
ALFA ROMEO,2300,2005,Dizel ,Hecbek ,235000,1910,147,120
ALFA ROMEO,1600,2003,Dizel ,Hecbek ,268404,1910,147,116
ALFA ROMEO,1000,2002,Dizel ,Hecbek ,288221,1910,147,116
ALFA ROMEO,2000,2002,Benzin ,Hecbek ,169800,2000,147,150
ALFA ROMEO,2999,2005,Dizel ,Hecbek ,203000,1910,147,116
ALFA ROMEO,3350,2010,Dizel ,Hecbek ,149500,1910,147,120
ALFA ROMEO,2650,2007,Dizel ,Hecbek ,190834,1910,147,120
ALFA ROMEO,2600,2005,Dizel ,Hecbek ,133000,1910,147,151
ALFA ROMEO,1350,2002,Dizel ,Hecbek ,250000,1898,147,117
ALFA ROMEO,1499,2004,Dizel ,Hecbek ,221500,1900,147,116
ALFA ROMEO,1499,2005,Dizel ,Hecbek ,221365,1896,147,116
ALFA ROMEO,1100,2003,Benzin ,Hecbek ,178443,1598,147,120
